Borrower_ID,Annual_Income,Credit_Score,Debt_Ratio,Monthly_Income,Risk_Score
1,85000,720,0.25,7083.33,0.18
2,42000,580,0.55,3500.00,0.72
3,120000,810,0.15,10000.00,0.05
4,55000,640,0.40,4583.33,0.48
5,95000,750,0.20,7916.67,0.11
6,32000,520,0.60,2666.67,0.89
7,75000,690,0.30,6250.00,0.29
8,110000,780,0.18,9166.67,0.09
9,62000,610,0.48,5166.67,0.59
10,48000,595,0.42,4000.00,0.62
11,150000,840,0.10,12500.00,0.02
12,28000,505,0.65,2333.33,0.92
13,68000,670,0.35,5666.67,0.38
14,105000,795,0.14,8750.00,0.08
15,39000,540,0.58,3250.00,0.77
16,88000,740,0.22,7333.33,0.16
17,52000,615,0.44,4333.33,0.54
18,115000,815,0.12,9583.33,0.04
19,34000,510,0.62,2833.33,0.85
20,72000,705,0.28,6000.00,0.31
21,125000,825,0.11,10416.67,0.03
22,41000,575,0.53,3416.67,0.68
23,65000,665,0.37,5416.67,0.42
24,98000,765,0.19,8166.67,0.12
25,30000,490,0.68,2500.00,0.95
26,108000,788,0.16,9000.00,0.10
27,45000,590,0.48,3750.00,0.66
28,82000,725,0.26,6833.33,0.23
29,35000,530,0.59,2916.67,0.79
30,78000,712,0.29,6500.00,0.28
31,130000,830,0.09,10833.33,0.02
32,40000,560,0.54,3333.33,0.74
33,63000,655,0.39,5250.00,0.46
34,92000,745,0.21,7666.67,0.17
35,29000,480,0.70,2416.67,0.98
36,102000,775,0.17,8500.00,0.13
37,47000,600,0.46,3916.67,0.58
38,84000,730,0.24,7000.00,0.21
39,32000,522,0.61,2666.67,0.82
40,76000,702,0.31,6333.33,0.34
41,128000,820,0.10,10666.67,0.04
42,43000,572,0.50,3583.33,0.69
43,67000,672,0.36,5583.33,0.40
44,94000,752,0.20,7833.33,0.15
45,27000,475,0.72,2250.00,0.99
46,112000,800,0.13,9333.33,0.07
47,46000,595,0.45,3833.33,0.61
48,86000,735,0.23,7166.67,0.19
49,33000,515,0.63,2750.00,0.86
50,74000,698,0.32,6166.67,0.35
51,135000,840,0.08,11250.00,0.01
52,38000,545,0.57,3166.67,0.80
53,64000,668,0.38,5333.33,0.43
54,97000,758,0.19,8083.33,0.14
55,31000,502,0.65,2583.33,0.93
56,106000,792,0.15,8833.33,0.11
57,51000,620,0.42,4250.00,0.52
58,83000,722,0.25,6916.67,0.24
59,34000,535,0.58,2833.33,0.76
60,79000,708,0.30,6583.33,0.27
61,122000,812,0.11,10166.67,0.05
62,44000,582,0.49,3666.67,0.67
63,69000,682,0.34,5750.00,0.37
64,93000,748,0.21,7750.00,0.18
65,30000,495,0.69,2500.00,0.96
66,110000,785,0.16,9166.67,0.12
67,49000,610,0.47,4083.33,0.56
68,80000,718,0.27,6666.67,0.26
69,32000,525,0.60,2666.67,0.84
70,71000,692,0.33,5916.67,0.38
71,142000,850,0.07,11833.33,0.01
72,42000,565,0.52,3500.00,0.71
73,62000,660,0.40,5166.67,0.47
74,99000,762,0.18,8250.00,0.10
75,26000,470,0.75,2166.67,0.99
76,107000,790,0.14,8916.67,0.09
77,50000,605,0.44,4166.67,0.55
78,81000,725,0.24,6750.00,0.22
79,35000,540,0.56,2916.67,0.73
80,73000,700,0.32,6083.33,0.36
81,126000,818,0.12,10500.00,0.06
82,39000,550,0.55,3250.00,0.78
83,61000,650,0.41,5083.33,0.49
84,96000,755,0.20,8000.00,0.16
85,31000,512,0.64,2583.33,0.91
86,118000,805,0.13,9833.33,0.08
87,48000,598,0.47,4000.00,0.60
88,85000,732,0.22,7083.33,0.18
89,33000,528,0.59,2750.00,0.81
90,75000,706,0.29,6250.00,0.28
91,145000,855,0.08,12083.33,0.01
92,37000,538,0.58,3083.33,0.83
93,66000,678,0.35,5500.00,0.41
94,91000,742,0.23,7583.33,0.20
95,28000,485,0.71,2333.33,0.98
96,104000,782,0.15,8666.67,0.11
97,45000,585,0.49,3750.00,0.65
98,87000,738,0.22,7250.00,0.18
99,34000,518,0.62,2833.33,0.87
100,77000,704,0.30,6416.67,0.32
